"","Date","PosCount","NegCount","TrustCount","AngerCount","AnticipationCount","DisgustCount","FearCount","JoyCount","SadnessCount","SurpriseCount"
"278",2009-03-12,25,27,13,19,6,11,25,3,13,5
"279",2009-03-13,10,16,4,9,4,4,12,5,8,2
"280",2009-03-14,19,28,14,15,7,6,17,2,13,6
"281",2009-03-15,20,30,16,15,6,8,19,3,13,2
"282",2009-03-16,22,27,23,13,10,3,20,7,14,6
"283",2009-03-17,24,30,12,10,9,7,22,6,10,6
"284",2009-03-18,18,23,12,13,5,8,22,5,13,3
"285",2009-03-19,14,22,15,11,11,3,16,7,14,3
"286",2009-03-20,16,34,15,19,9,8,23,5,13,6
"287",2009-03-21,16,26,12,15,13,6,20,5,8,5
"288",2009-03-22,15,24,8,12,10,6,19,4,8,5
"289",2009-03-23,14,24,16,16,9,3,17,6,14,5
"290",2009-03-24,22,35,23,25,11,12,29,11,22,10
"291",2009-03-25,25,38,18,21,19,13,28,7,18,6
"292",2009-03-26,26,24,20,14,8,10,19,7,10,6
"293",2009-03-27,25,13,21,7,10,5,11,6,5,4
"294",2009-03-28,21,20,14,16,19,9,17,8,13,3
"295",2009-03-30,22,21,12,13,7,4,21,4,12,3
"296",2009-03-31,21,17,17,10,11,7,12,4,7,1
"297",2009-04-01,16,20,14,11,9,3,10,7,5,4
"298",2009-04-02,21,25,19,18,8,7,20,7,9,7
"299",2009-04-03,17,22,17,10,10,3,17,7,9,5
"300",2009-04-04,17,25,14,13,6,10,20,1,12,5
"301",2009-04-05,11,12,7,11,6,5,12,1,7,6
"302",2009-04-06,17,32,18,18,8,10,21,3,10,7
"303",2009-04-07,19,25,19,12,10,5,18,3,8,8
"304",2009-04-08,24,22,18,10,12,5,18,7,11,7
"305",2009-04-09,22,33,18,18,10,10,30,4,18,7
"306",2009-04-10,29,25,22,12,11,7,13,9,11,7
"307",2009-04-11,22,32,15,17,11,7,27,10,12,3
"308",2009-04-12,20,24,16,13,11,5,23,4,14,9
"309",2009-04-13,23,15,14,9,5,7,15,5,11,4
"310",2009-04-14,20,21,9,10,10,5,19,2,8,7
"311",2009-04-15,23,17,16,9,9,4,14,5,4,4
"312",2009-04-16,16,31,18,16,9,10,31,3,18,4
"313",2009-04-17,20,35,14,23,15,11,27,8,19,5
"314",2009-04-18,20,24,15,8,4,5,14,5,7,4
"315",2009-04-19,23,19,16,10,6,8,15,3,11,3
"316",2009-04-20,26,25,22,15,13,6,21,9,13,4
"317",2009-04-21,20,22,18,12,7,7,20,6,12,4
"318",2009-04-22,25,11,17,5,8,4,9,9,8,4
"319",2009-04-23,22,29,20,20,10,8,26,7,12,2
"320",2009-04-24,31,24,18,11,15,5,20,11,12,7
"321",2009-04-25,11,29,11,11,6,7,16,4,9,3
"322",2009-04-26,23,36,16,10,16,10,28,9,10,8
"323",2009-04-27,14,34,12,3,8,9,21,2,9,3
"324",2009-04-28,19,39,13,11,11,13,23,5,10,6
"325",2009-04-29,24,26,16,16,17,10,25,8,9,7
"326",2009-04-30,14,35,16,13,2,7,23,4,5,1
"327",2009-05-01,28,40,20,19,10,10,31,8,17,8
"328",2009-05-02,22,32,13,17,11,13,26,4,15,5
"329",2009-05-03,25,29,24,15,8,8,22,6,14,8
"330",2009-05-04,22,30,20,17,17,9,23,10,18,7
"331",2009-05-05,23,36,13,16,11,7,25,8,5,5
"332",2009-05-06,11,32,8,18,6,6,27,2,14,4
"333",2009-05-07,18,19,17,11,7,5,13,6,6,8
"334",2009-05-08,26,28,16,13,16,8,22,12,15,7
"335",2009-05-09,22,32,15,20,8,7,24,6,14,3
"336",2009-05-10,11,35,9,18,9,12,24,4,13,5
"337",2009-05-11,27,35,18,15,8,8,20,8,12,7
"338",2009-05-12,23,30,26,18,12,14,33,10,14,12
"339",2009-05-13,23,28,21,18,8,10,24,5,14,6
"340",2009-05-14,9,26,7,7,7,9,16,2,11,1
"341",2009-05-15,20,26,17,10,10,2,14,11,7,3
"342",2009-05-16,15,26,10,18,3,7,17,4,10,3
"343",2009-05-17,17,21,13,11,5,5,16,5,6,2
"344",2009-05-18,26,19,21,14,7,8,20,6,5,5
"345",2009-05-19,29,16,16,8,16,7,18,10,9,5
"346",2009-05-20,16,36,6,17,11,16,19,6,22,3
